Provinsi,Jenjang_Pendidikan,Tahun,Nilai,Info_Tambahan,Original_Column,Growth_YoY_Pct,Change_Absolute,Moving_Avg_3Y,Cumulative_Change,Rank_National,Percentile,Avg_Growth_Rate
ACEH,SD,2015,96.47,Sederajat,SD / Sederajat - 2015,,,97.27,0.0,4.0,92.10526315789474,0.3394025510516499
ACEH,SD,2016,98.07,Sederajat,SD / Sederajat - 2016,1.6585466984554653,1.5999999999999943,97.46333333333332,1.5999999999999943,2.0,97.36842105263158,0.3394025510516499
ACEH,SD,2017,97.85,Sederajat,SD / Sederajat - 2017,-0.22432956051799957,-0.21999999999999886,97.55666666666666,1.3799999999999955,1.0,100.0,0.3394025510516499
ACEH,SD,2018,96.75,Sederajat,SD / Sederajat - 2018,-1.124169647419515,-1.0999999999999943,97.73333333333333,0.28000000000000114,4.0,92.10526315789474,0.3394025510516499
ACEH,SD,2019,98.6,Sederajat,SD / Sederajat - 2019,1.9121447028423777,1.8499999999999943,97.89333333333333,2.1299999999999955,1.0,100.0,0.3394025510516499
ACEH,SD,2020,98.33,Sederajat,SD / Sederajat - 2020,-0.2738336713995926,-0.269999999999996,98.79,1.8599999999999994,1.0,100.0,0.3394025510516499
ACEH,SD,2021,99.44,Sederajat,SD / Sederajat - 2021,1.1288518254856106,1.1099999999999994,99.07333333333334,2.969999999999999,1.0,100.0,0.3394025510516499
ACEH,SD,2022,99.45,Sederajat,SD / Sederajat - 2022,0.010056315366058222,0.010000000000005116,99.32333333333334,2.980000000000004,1.0,100.0,0.3394025510516499
ACEH,SD,2023,99.08,Sederajat,SD / Sederajat - 2023,-0.37204625439920536,-0.37000000000000455,99.26500000000001,2.6099999999999994,2.0,97.36842105263158,0.3394025510516499
ACEH,SMP,2015,89.01,Sederajat,SMP / Sederajat - 2015,,,88.855,0.0,1.0,100.0,0.7886505949627809
ACEH,SMP,2016,88.7,Sederajat,SMP / Sederajat - 2016,-0.34827547466577125,-0.3100000000000023,89.04333333333334,-0.3100000000000023,4.0,92.10526315789474,0.7886505949627809
ACEH,SMP,2017,89.42,Sederajat,SMP / Sederajat - 2017,0.8117249154453221,0.7199999999999989,88.42333333333335,0.4099999999999966,5.0,89.47368421052632,0.7886505949627809
ACEH,SMP,2018,87.15,Sederajat,SMP / Sederajat - 2018,-2.5385819727130388,-2.269999999999996,88.69,-1.8599999999999994,8.0,81.57894736842105,0.7886505949627809
ACEH,SMP,2019,89.5,Sederajat,SMP / Sederajat - 2019,2.696500286861725,2.3499999999999943,89.19,0.4899999999999949,5.0,89.47368421052632,0.7886505949627809
ACEH,SMP,2020,90.92,Sederajat,SMP / Sederajat - 2020,1.5865921787709514,1.4200000000000017,91.28333333333335,1.9099999999999966,7.0,84.21052631578947,0.7886505949627809
ACEH,SMP,2021,93.43,Sederajat,SMP / Sederajat - 2021,2.760668719753645,2.510000000000005,93.99333333333334,4.420000000000002,5.0,89.47368421052632,0.7886505949627809
ACEH,SMP,2022,97.63,Sederajat,SMP / Sederajat - 2022,4.495344107888255,4.199999999999989,95.20333333333333,8.61999999999999,1.0,100.0,0.7886505949627809
ACEH,SMP,2023,94.55,Sederajat,SMP / Sederajat - 2023,-3.1547680016388413,-3.0799999999999983,96.09,5.539999999999992,5.0,89.47368421052632,0.7886505949627809
ACEH,SMA,2015,68.16,Sederajat,SMA / Sederajat - 2015,,,71.31,0.0,4.0,92.10526315789474,1.2288658493163491
ACEH,SMA,2016,74.46,Sederajat,SMA / Sederajat - 2016,9.242957746478876,6.299999999999997,71.08666666666666,6.299999999999997,4.0,92.10526315789474,1.2288658493163491
ACEH,SMA,2017,70.64,Sederajat,SMA / Sederajat - 2017,-5.130271286596821,-3.819999999999993,71.92666666666666,2.480000000000004,6.0,86.8421052631579,1.2288658493163491
ACEH,SMA,2018,70.68,Sederajat,SMA / Sederajat - 2018,0.05662514156286047,0.04000000000000625,70.42666666666666,2.5200000000000102,5.0,89.47368421052632,1.2288658493163491
ACEH,SMA,2019,69.96,Sederajat,SMA / Sederajat - 2019,-1.0186757215619902,-0.7200000000000131,70.23666666666666,1.7999999999999972,4.0,92.10526315789474,1.2288658493163491
ACEH,SMA,2020,70.07,Sederajat,SMA / Sederajat - 2020,0.15723270440251014,0.10999999999999943,71.46333333333332,1.9099999999999966,9.0,78.94736842105263,1.2288658493163491
ACEH,SMA,2021,74.36,Sederajat,SMA / Sederajat - 2021,6.1224489795918435,4.290000000000006,71.7,6.200000000000003,5.0,89.47368421052632,1.2288658493163491
ACEH,SMA,2022,70.67,Sederajat,SMA / Sederajat - 2022,-4.962345346960728,-3.6899999999999977,73.16333333333334,2.510000000000005,8.0,81.57894736842105,1.2288658493163491
ACEH,SMA,2023,74.46,Sederajat,SMA / Sederajat - 2023,5.362954577614243,3.789999999999992,72.565,6.299999999999997,6.0,86.8421052631579,1.2288658493163491
BALI,SD,2015,96.73,Sederajat,SD / Sederajat - 2015,,,96.86500000000001,0.0,2.0,97.36842105263158,0.22341052068145517
BALI,SD,2016,97.0,Sederajat,SD / Sederajat - 2016,0.27912746821048273,0.269999999999996,96.98,0.269999999999996,3.0,94.73684210526315,0.22341052068145517
BALI,SD,2017,97.21,Sederajat,SD / Sederajat - 2017,0.2164948453608151,0.20999999999999375,96.87,0.47999999999998977,4.0,92.10526315789474,0.22341052068145517
BALI,SD,2018,96.4,Sederajat,SD / Sederajat - 2018,-0.8332476082707374,-0.8099999999999881,97.31666666666666,-0.3299999999999983,5.0,89.47368421052632,0.22341052068145517
